Year,Month,Make,Model,Quantity,Pct
2007,1,Volkswagen ,Volkswagen Passat,1267,10
2007,1,Volkswagen ,Volkswagen Golf,720,5.7
2007,1,Volkswagen ,Volkswagen Touran,235,1.9
2007,1,Volkswagen ,Volkswagen Polo,218,1.7
2007,2,Volkswagen ,Volkswagen Passat,602,6.1
2007,2,Volkswagen ,Volkswagen Golf,442,4.5
2007,2,Volkswagen ,Volkswagen Touran,189,1.9
2007,2,Volkswagen ,Volkswagen Polo,162,1.7
2007,3,Volkswagen ,Volkswagen Passat,521,4.6
2007,3,Volkswagen ,Volkswagen Golf,402,3.6
2007,3,Volkswagen ,Volkswagen Polo,197,1.7
2007,3,Volkswagen ,Volkswagen Touran,194,1.7
2007,4,Volkswagen ,Volkswagen Passat,375,4.2
2007,4,Volkswagen ,Volkswagen Golf,342,3.9
2007,4,Volkswagen ,Volkswagen Touran,229,2.6
2007,4,Volkswagen ,Volkswagen Polo,167,1.9
2007,5,Volkswagen ,Volkswagen Golf,669,5.6
2007,5,Volkswagen ,Volkswagen Passat,607,5.1
2007,5,Volkswagen ,Volkswagen Touran,262,2.2
2007,5,Volkswagen ,Volkswagen Polo,258,2.1
2007,6,Volkswagen ,Volkswagen Golf,510,4.6
2007,6,Volkswagen ,Volkswagen Passat,509,4.6
2007,6,Volkswagen ,Volkswagen Polo,227,2
2007,6,Volkswagen ,Volkswagen Touran,191,1.7
2007,7,Volkswagen ,Volkswagen Passat,811,6.7
2007,7,Volkswagen ,Volkswagen Golf,447,3.7
2007,7,Volkswagen ,Volkswagen Touran,218,1.8
2007,7,Volkswagen ,Volkswagen Polo,214,1.8
2007,8,Volkswagen ,Volkswagen Passat,644,6
2007,8,Volkswagen ,Volkswagen Golf,476,4.4
2007,8,Volkswagen ,Volkswagen Polo,210,1.9
2007,8,Volkswagen ,Volkswagen Touran,209,1.9
2007,9,Volkswagen ,Volkswagen Golf,473,5.1
2007,9,Volkswagen ,Volkswagen Passat,459,4.9
2007,9,Volkswagen ,Volkswagen Touran,177,1.9
2007,9,Volkswagen ,Volkswagen Polo,149,1.6
2007,10,Volkswagen ,Volkswagen Golf,675,5.8
2007,10,Volkswagen ,Volkswagen Passat,491,4.2
2007,10,Volkswagen ,Volkswagen Touran,356,3.1
2007,10,Volkswagen ,Volkswagen Polo,276,2.4
2007,11,Volkswagen ,Volkswagen Golf,530,5.1
2007,11,Volkswagen ,Volkswagen Passat,527,5
2007,11,Volkswagen ,Volkswagen Touran,207,2
2007,11,Volkswagen ,Volkswagen Polo,104,1
2007,12,Volkswagen ,Volkswagen Golf,390,4.2
2007,12,Volkswagen ,Volkswagen Passat,381,4.1
2007,12,Volkswagen ,Volkswagen Touran,135,1.5
2007,12,Volkswagen ,Volkswagen Polo,108,1.2
2008,1,Volkswagen ,Volkswagen Golf,425,4.3
2008,1,Volkswagen ,Volkswagen Passat,365,3.7
2008,2,Volkswagen ,Volkswagen Passat,551,5.2
2008,2,Volkswagen ,Volkswagen Golf,488,4.6
2008,2,Volkswagen ,Volkswagen Tiguan,340,3.2
2008,3,Volkswagen ,Volkswagen Golf,453,4.8
2008,3,Volkswagen ,Volkswagen Passat,396,4.2
2008,3,Volkswagen ,Volkswagen Tiguan,267,2.8
2008,4,Volkswagen ,Volkswagen Golf,598,5.1
2008,4,Volkswagen ,Volkswagen Passat,478,4.1
2008,4,Volkswagen ,Volkswagen Tiguan,221,1.9
2008,5,Volkswagen ,Volkswagen Golf,416,4.1
2008,5,Volkswagen ,Volkswagen Passat,372,3.6
2008,5,Volkswagen ,Volkswagen Tiguan,218,2.1
2008,6,Volkswagen ,Volkswagen Golf,358,3.7
2008,6,Volkswagen ,Volkswagen Passat,300,3.1
2008,6,Volkswagen ,Volkswagen Tiguan,182,1.9
2008,7,Volkswagen ,Volkswagen Golf,437,4.5
2008,7,Volkswagen ,Volkswagen Passat,205,2.1
2008,7,Volkswagen ,Volkswagen Tiguan,199,2.1
2008,8,Volkswagen ,Volkswagen Golf,418,5.3
2008,8,Volkswagen ,Volkswagen Tiguan,354,4.5
2008,8,Volkswagen ,Volkswagen Passat,245,3.1
2008,9,Volkswagen ,Volkswagen Golf,401,4.7
2008,9,Volkswagen ,Volkswagen Passat,326,3.9
2008,9,Volkswagen ,Volkswagen Tiguan,225,2.7
2008,10,Volkswagen ,Volkswagen Golf,459,5.5
2008,10,Volkswagen ,Volkswagen Passat,334,4
2008,10,Volkswagen ,Volkswagen Tiguan,264,3.1
2008,11,Volkswagen ,Volkswagen Passat,342,4.9
2008,11,Volkswagen ,Volkswagen Golf,307,4.4
2008,11,Volkswagen ,Volkswagen Tiguan,293,4.2
2008,12,Volkswagen ,Volkswagen Passat,348,4.5
2008,12,Volkswagen ,Volkswagen Golf,319,4.1
2008,12,Volkswagen ,Volkswagen Tiguan,312,4
2009,1,Volkswagen ,Volkswagen Golf,318,5.9
2009,1,Volkswagen ,Volkswagen Passat,161,3
2009,1,Volkswagen ,Volkswagen Tiguan,80,1.5
2009,2,Volkswagen ,Volkswagen Golf,339,5.4
2009,2,Volkswagen ,Volkswagen Passat,245,3.9
2009,2,Volkswagen ,Volkswagen Tiguan,143,2.3
2009,3,Volkswagen ,Volkswagen Golf,344,4.5
2009,3,Volkswagen ,Volkswagen Passat,175,2.3
2009,3,Volkswagen ,Volkswagen Tiguan,172,2.3
2009,4,Volkswagen ,Volkswagen Golf,441,5.9
2009,4,Volkswagen ,Volkswagen Tiguan,211,2.8
2009,4,Volkswagen ,Volkswagen Passat,202,2.7
2009,5,Volkswagen ,Volkswagen Golf,509,6.9
2009,5,Volkswagen ,Volkswagen Passat,193,2.6
2009,5,Volkswagen ,Volkswagen Tiguan,172,2.3
2009,6,Volkswagen ,Volkswagen Golf,412,5.4
2009,6,Volkswagen ,Volkswagen Passat,233,3.1
2009,6,Volkswagen ,Volkswagen Tiguan,141,1.9
2009,7,Volkswagen ,Volkswagen Golf,482,5.1
2009,7,Volkswagen ,Volkswagen Passat,448,4.8
2009,7,Volkswagen ,Volkswagen Tiguan,205,2.2
2009,8,Volkswagen ,Volkswagen Golf,453,5.7
2009,8,Volkswagen ,Volkswagen Passat,298,3.7
2009,8,Volkswagen ,Volkswagen Tiguan,190,2.4
2009,9,Volkswagen ,Volkswagen Golf,450,4.7
2009,9,Volkswagen ,Volkswagen Passat,276,2.9
2009,9,Volkswagen ,Volkswagen Tiguan,238,2.5
2009,10,Volkswagen ,Volkswagen Golf,632,6.2
2009,10,Volkswagen ,Volkswagen Passat,254,2.5
2009,10,Volkswagen ,Volkswagen Tiguan,193,1.9
2009,11,Volkswagen ,Volkswagen Golf,567,5.9
2009,11,Volkswagen ,Volkswagen Tiguan,325,3.4
2009,11,Volkswagen ,Volkswagen Passat,311,3.2
2009,12,Volkswagen ,Volkswagen Golf,454,4.4
2009,12,Volkswagen ,Volkswagen Passat,414,4
2009,12,Volkswagen ,Volkswagen Tiguan,370,3.6
2010,1,Volkswagen ,Volkswagen Golf,739,7.6
2010,1,Volkswagen ,Volkswagen Polo,310,3.2
2010,1,Volkswagen ,Volkswagen Passat,299,3.1
2010,2,Volkswagen ,Volkswagen Golf,597,6.6
2010,2,Volkswagen ,Volkswagen Passat,311,3.4
2010,2,Volkswagen ,Volkswagen Polo,188,2.1
2010,3,Volkswagen ,Volkswagen Golf,601,5.2
2010,3,Volkswagen ,Volkswagen Passat,329,2.9
2010,3,Volkswagen ,Volkswagen Polo,188,1.6
2010,4,Volkswagen ,Volkswagen Golf,763,7.1
2010,4,Volkswagen ,Volkswagen Passat,370,3.5
2010,4,Volkswagen ,Volkswagen Polo,324,3
2010,4,Volkswagen ,Volkswagen Tiguan,252,2.4
2010,5,Volkswagen ,Volkswagen Golf,559,5.6
2010,5,Volkswagen ,Volkswagen Passat,334,3.4
2010,5,Volkswagen ,Volkswagen Polo,279,2.8
2010,5,Volkswagen ,Volkswagen Tiguan,187,1.9
2010,6,Volkswagen ,Volkswagen Golf,671,6
2010,6,Volkswagen ,Volkswagen Passat,262,2.4
2010,6,Volkswagen ,Volkswagen Polo,179,1.6
2010,6,Volkswagen ,Volkswagen Tiguan,126,1.1
2010,7,Volkswagen ,Volkswagen Golf,893,7.8
2010,7,Volkswagen ,Volkswagen Passat,347,3
2010,7,Volkswagen ,Volkswagen Polo,310,2.7
2010,7,Volkswagen ,Volkswagen Tiguan,183,1.6
2010,8,Volkswagen ,Volkswagen Golf,544,5.2
2010,8,Volkswagen ,Volkswagen Polo,291,2.8
2010,8,Volkswagen ,Volkswagen Passat,249,2.4
2010,8,Volkswagen ,Volkswagen Tiguan,218,2.1
2010,9,Volkswagen ,Volkswagen Golf,670,6
2010,9,Volkswagen ,Volkswagen Passat,235,2.1
2010,9,Volkswagen ,Volkswagen Tiguan,235,2.1
2010,9,Volkswagen ,Volkswagen Polo,210,1.9
2010,10,Volkswagen ,Volkswagen Golf,742,6.9
2010,10,Volkswagen ,Volkswagen Polo,297,2.8
2010,10,Volkswagen ,Volkswagen Tiguan,208,1.9
2010,10,Volkswagen ,Volkswagen Passat,168,1.6
2010,11,Volkswagen ,Volkswagen Golf,913,7.7
2010,11,Volkswagen ,Volkswagen Polo,318,2.7
2010,11,Volkswagen ,Volkswagen Tiguan,162,1.4
2010,11,Volkswagen ,Volkswagen Passat,80,0.7
2010,12,Volkswagen ,Volkswagen Golf,537,5.3
2010,12,Volkswagen ,Volkswagen Passat,178,1.8
2010,12,Volkswagen ,Volkswagen Polo,138,1.4
2010,12,Volkswagen ,Volkswagen Tiguan,124,1.2
2011,1,Volkswagen ,Volkswagen Golf,637,6.1
2011,1,Volkswagen ,Volkswagen Polo,301,2.9
2011,1,Volkswagen ,Volkswagen Passat,269,2.6
2011,1,Volkswagen ,Volkswagen Touran,186,1.8
2011,1,Volkswagen ,Volkswagen Tiguan,158,1.5
2011,2,Volkswagen ,Volkswagen Golf,532,5
2011,2,Volkswagen ,Volkswagen Passat,319,3
2011,2,Volkswagen ,Volkswagen Polo,200,1.9
2011,2,Volkswagen ,Volkswagen Tiguan,183,1.7
2011,2,Volkswagen ,Volkswagen Touran,159,1.5
2011,3,Volkswagen ,Volkswagen Golf,714,5.5
2011,3,Volkswagen ,Volkswagen Passat,347,2.7
2011,3,Volkswagen ,Volkswagen Tiguan,296,2.3
2011,3,Volkswagen ,Volkswagen Polo,252,2
2011,3,Volkswagen ,Volkswagen Touran,130,1
2011,4,Volkswagen ,Volkswagen Golf,680,6
2011,4,Volkswagen ,Volkswagen Passat,432,3.8
2011,4,Volkswagen ,Volkswagen Polo,335,3
2011,4,Volkswagen ,Volkswagen Touran,139,1.2
2011,4,Volkswagen ,Volkswagen Tiguan,138,1.2
2011,5,Volkswagen ,Volkswagen Golf,611,4.7
2011,5,Volkswagen ,Volkswagen Passat,581,4.5
2011,5,Volkswagen ,Volkswagen Polo,297,2.3
2011,5,Volkswagen ,Volkswagen Tiguan,81,0.6
2011,6,Volkswagen ,Volkswagen Passat,411,4
2011,6,Volkswagen ,Volkswagen Golf,391,3.8
2011,6,Volkswagen ,Volkswagen Polo,141,1.4
2011,6,Volkswagen ,Volkswagen Tiguan,55,0.5
2011,7,Volkswagen ,Volkswagen Golf,636,5.7
2011,7,Volkswagen ,Volkswagen Passat,329,2.9
2011,7,Volkswagen ,Volkswagen Polo,236,2.1
2011,7,Volkswagen ,Volkswagen Tiguan,115,1
2011,8,Volkswagen ,Volkswagen Golf,668,5.8
2011,8,Volkswagen ,Volkswagen Passat,406,3.5
2011,8,Volkswagen ,Volkswagen Polo,305,2.7
2011,8,Volkswagen ,Volkswagen Tiguan,222,1.9
2011,9,Volkswagen ,Volkswagen Golf,608,5.2
2011,9,Volkswagen ,Volkswagen Passat,342,2.9
2011,9,Volkswagen ,Volkswagen Tiguan,225,1.9
2011,9,Volkswagen ,Volkswagen Polo,220,1.9
2011,10,Volkswagen ,Volkswagen Golf,667,5.8
2011,10,Volkswagen ,Volkswagen Tiguan,367,3.2
2011,10,Volkswagen ,Volkswagen Passat,361,3.1
2011,10,Volkswagen ,Volkswagen Polo,227,2
2011,11,Volkswagen ,Volkswagen Golf,619,5
2011,11,Volkswagen ,Volkswagen Passat,396,3.2
2011,11,Volkswagen ,Volkswagen Tiguan,332,2.7
2011,11,Volkswagen ,Volkswagen Polo,236,1.9
2011,12,Volkswagen ,Volkswagen Golf,607,5.3
2011,12,Volkswagen ,Volkswagen Tiguan,479,4.1
2011,12,Volkswagen ,Volkswagen Passat,415,3.6
2011,12,Volkswagen ,Volkswagen Polo,230,2
2012,1,Volkswagen ,Volkswagen Golf,482,4.4
2012,1,Volkswagen ,Volkswagen Tiguan,336,3.1
2012,1,Volkswagen ,Volkswagen Passat,290,2.7
2012,1,Volkswagen ,Volkswagen Polo,179,1.7
2012,2,Volkswagen ,Volkswagen Golf,377,3.5
2012,2,Volkswagen ,Volkswagen Tiguan,314,2.9
2012,2,Volkswagen ,Volkswagen Passat,263,2.4
2012,2,Volkswagen ,Volkswagen Polo,198,1.8
2012,3,Volkswagen ,Volkswagen Golf,599,4.6
2012,3,Volkswagen ,Volkswagen Tiguan,377,2.9
2012,3,Volkswagen ,Volkswagen Passat,332,2.5
2012,3,Volkswagen ,Volkswagen Polo,136,1
2012,4,Volkswagen ,Volkswagen Golf,685,6.3
2012,4,Volkswagen ,Volkswagen Tiguan,414,3.8
2012,4,Volkswagen ,Volkswagen Passat,397,3.7
2012,4,Volkswagen ,Volkswagen Polo,257,2.4
2012,5,Volkswagen ,Volkswagen Golf,555,4.4
2012,5,Volkswagen ,Volkswagen Passat,417,3.3
2012,5,Volkswagen ,Volkswagen Tiguan,313,2.5
2012,5,Volkswagen ,Volkswagen Polo,119,0.9
2012,6,Volkswagen ,Volkswagen Golf,377,3.4
2012,6,Volkswagen ,Volkswagen Passat,349,3.2
2012,6,Volkswagen ,Volkswagen Tiguan,311,2.8
2012,6,Volkswagen ,Volkswagen Polo,110,1
2012,7,Volkswagen ,Volkswagen Golf,612,5.1
2012,7,Volkswagen ,Volkswagen Passat,420,3.5
2012,7,Volkswagen ,Volkswagen Tiguan,352,3
2012,7,Volkswagen ,Volkswagen Polo,198,1.7
2012,8,Volkswagen ,Volkswagen Golf,566,4.8
2012,8,Volkswagen ,Volkswagen Passat,340,2.9
2012,8,Volkswagen ,Volkswagen Polo,236,2
2012,8,Volkswagen ,Volkswagen Tiguan,227,1.9
2012,9,Volkswagen ,Volkswagen Golf,461,4.1
2012,9,Volkswagen ,Volkswagen Passat,321,2.9
2012,9,Volkswagen ,Volkswagen Tiguan,245,2.2
2012,9,Volkswagen ,Volkswagen Polo,101,0.9
2012,10,Volkswagen ,Volkswagen Golf,483,3.9
2012,10,Volkswagen ,Volkswagen Passat,391,3.1
2012,10,Volkswagen ,Volkswagen Tiguan,341,2.7
2012,10,Volkswagen ,Volkswagen Polo,169,1.4
2012,11,Volkswagen ,Volkswagen Golf,664,5.539796429
2012,11,Volkswagen ,Volkswagen Passat,376,3.136993159
2012,11,Volkswagen ,Volkswagen Tiguan,371,3.095277824
2012,11,Volkswagen ,Volkswagen up!,208,1.735357918
2012,11,Volkswagen ,Volkswagen Polo,207,1.727014851
2012,12,Volkswagen ,Volkswagen Golf,452,4.824420963
2012,12,Volkswagen ,Volkswagen Tiguan,278,2.967232362
2012,12,Volkswagen ,Volkswagen Passat,252,2.689721422
2012,12,Volkswagen ,Volkswagen Polo,102,1.088696766
2013,1,Volkswagen ,Volkswagen Golf,733,6.3
2013,1,Volkswagen ,Volkswagen Tiguan,274,2.4
2013,1,Volkswagen ,Volkswagen Passat,245,2.1
2013,2,Volkswagen ,Volkswagen Golf,678,6
2013,2,Volkswagen ,Volkswagen Passat,274,2.4
2013,2,Volkswagen ,Volkswagen Tiguan,233,2.1
2013,3,Volkswagen ,Volkswagen Golf,555,5.2
2013,3,Volkswagen ,Volkswagen Passat,258,2.4
2013,3,Volkswagen ,Volkswagen Tiguan,238,2.2
2013,4,Volkswagen ,Volkswagen Golf,903,6.5
2013,4,Volkswagen ,Volkswagen Passat,324,2.3
2013,4,Volkswagen ,Volkswagen Tiguan,316,2.3
2013,5,Volkswagen ,Volkswagen Golf,512,4.262404262
2013,5,Volkswagen ,Volkswagen Passat,256,2.131202131
2013,5,Volkswagen ,Volkswagen Tiguan,211,1.756576757
2013,6,Volkswagen ,Volkswagen Golf,550,5
2013,6,Volkswagen ,Volkswagen Passat,281,2.6
2013,6,Volkswagen ,Volkswagen Tiguan,216,2
2013,7,Volkswagen ,Volkswagen Golf,587,5.2
2013,7,Volkswagen ,Volkswagen Tiguan,228,2.015558699
2013,7,Volkswagen ,Volkswagen Passat,222,1.96251768
2013,7,Volkswagen ,Volkswagen Polo,178,1.573550212
2013,7,Volkswagen ,Volkswagen up!,142,1.255304102
2013,8,Volkswagen ,Volkswagen Golf,514,4.4
2013,8,Volkswagen ,Volkswagen Tiguan,272,2.3
2013,8,Volkswagen ,Volkswagen Passat,226,1.9
2013,9,Volkswagen ,Volkswagen Golf,561,4.6
2013,9,Volkswagen ,Volkswagen Tiguan,294,2.4
2013,9,Volkswagen ,Volkswagen Passat,250,2.1
2013,9,Volkswagen ,Volkswagen Polo,139,1.1
2013,10,Volkswagen ,Volkswagen Golf,646,5
2013,10,Volkswagen ,Volkswagen Passat,239,1.9
2013,10,Volkswagen ,Volkswagen Tiguan,223,1.7
2013,11,Volkswagen ,Volkswagen Golf,666,5.5
2013,11,Volkswagen ,Volkswagen Passat,243,2
2013,11,Volkswagen ,Volkswagen Tiguan,181,1.5
2013,12,Volkswagen ,Volkswagen Golf,461,4
2013,12,Volkswagen ,Volkswagen up!,368,3.2
2013,12,Volkswagen ,Volkswagen Tiguan,202,1.8
2013,12,Volkswagen ,Volkswagen Passat,179,1.6
2013,12,Volkswagen ,Volkswagen Polo,132,1.2
2014,1,Volkswagen ,Volkswagen Golf,465,4.1
2014,1,Volkswagen ,Volkswagen Tiguan,231,2
2014,1,Volkswagen ,Volkswagen up!,218,1.9
2014,1,Volkswagen ,Volkswagen Passat,207,1.8
2014,2,Volkswagen ,Volkswagen Golf,488,4.3
2014,2,Volkswagen ,Volkswagen up!,265,2.4
2014,2,Volkswagen ,Volkswagen Passat,211,1.9
2014,2,Volkswagen ,Volkswagen Tiguan,194,1.7
2014,3,Volkswagen ,Volkswagen Golf,624,4.5
2014,3,Volkswagen ,Volkswagen up!,444,3.2
2014,3,Volkswagen ,Volkswagen Tiguan,193,1.4
2014,3,Volkswagen ,Volkswagen Passat,190,1.4
2014,4,Volkswagen ,Volkswagen Golf,766,6.3
2014,4,Volkswagen ,Volkswagen up!,348,2.9
2014,4,Volkswagen ,Volkswagen Passat,290,2.4
2014,4,Volkswagen ,Volkswagen Tiguan,278,2.3
2014,5,Volkswagen ,Volkswagen Golf,565,4.6
2014,5,Volkswagen ,Volkswagen up!,465,3.8
2014,5,Volkswagen ,Volkswagen Passat,206,1.7
2014,5,Volkswagen ,Volkswagen Tiguan,188,1.5
2014,6,Volkswagen ,Volkswagen Golf,723,6.3
2014,6,Volkswagen ,Volkswagen up!,251,2.2
2014,6,Volkswagen ,Volkswagen Passat,195,1.7
2014,6,Volkswagen ,Volkswagen Tiguan,138,1.2
2014,7,Volkswagen ,Volkswagen Golf,1136,9.7
2014,7,Volkswagen ,Volkswagen up!,338,2.9
2014,7,Volkswagen ,Volkswagen Tiguan,218,1.9
2014,7,Volkswagen ,Volkswagen Passat,188,1.6
2014,8,Volkswagen ,Volkswagen Golf,1075,9.4
2014,8,Volkswagen ,Volkswagen up!,364,3.2
2014,8,Volkswagen ,Volkswagen Passat,169,1.5
2014,8,Volkswagen ,Volkswagen Tiguan,167,1.5
2014,9,Volkswagen ,Volkswagen Golf,939,8.1
2014,9,Volkswagen ,Volkswagen up!,289,2.5
2014,9,Volkswagen ,Volkswagen Passat,143,1.2
2014,9,Volkswagen ,Volkswagen Tiguan,99,0.9
2014,10,Volkswagen ,Volkswagen Golf,1038,8
2014,10,Volkswagen ,Volkswagen up!,326,2.5
2014,10,Volkswagen ,Volkswagen Tiguan,227,1.8
2014,10,Volkswagen ,Volkswagen Passat,169,1.3
2014,11,Volkswagen ,Volkswagen Golf,870,7.6
2014,11,Volkswagen ,Volkswagen up!,283,2.5
2014,11,Volkswagen ,Volkswagen Tiguan,212,1.8
2014,11,Volkswagen ,Volkswagen Passat,167,1.5
2014,12,Volkswagen ,Volkswagen Golf,990,7.8
2014,12,Volkswagen ,Volkswagen Passat,324,2.6
2014,12,Volkswagen ,Volkswagen up!,216,1.7
2014,12,Volkswagen ,Volkswagen Tiguan,195,1.5
2015,1,Volkswagen ,Volkswagen Golf,1313,12.5
2015,1,Volkswagen ,Volkswagen Golf,1199,11.2
2015,1,Volkswagen ,Volkswagen Passat,254,2.4
2015,1,Volkswagen ,Volkswagen up!,194,1.8
2015,1,Volkswagen ,Volkswagen Tiguan,118,1.1
2015,2,Volkswagen ,Volkswagen Passat,204,1.9
2015,2,Volkswagen ,Volkswagen up!,194,1.8
2015,3,Volkswagen ,Volkswagen Golf,1421,10.03601949
2015,3,Volkswagen ,Volkswagen Passat,229,1.617345858
2015,3,Volkswagen ,Volkswagen up!,217,1.53259411
2015,3,Volkswagen ,Volkswagen Polo,139,0.981707748
2015,4,Volkswagen ,Volkswagen Golf,1595,12.47848537
2015,4,Volkswagen ,Volkswagen Passat,354,2.769519637
2015,4,Volkswagen ,Volkswagen up!,210,1.642935378
2015,4,Volkswagen ,Volkswagen Polo,183,1.431700829
2015,5,Volkswagen ,Volkswagen Golf,1323,11
2015,5,Volkswagen ,Volkswagen Passat,236,2
2015,5,Volkswagen ,Volkswagen up!,130,1.1
2015,6,Volkswagen ,Volkswagen Golf,1626,11.4
2015,6,Volkswagen ,Volkswagen Passat,308,2.2
2015,6,Volkswagen ,Volkswagen up!,180,1.3
2015,7,Volkswagen ,Volkswagen Golf,1542,12.4
2015,7,Volkswagen ,Volkswagen Passat,356,2.9
2015,7,Volkswagen ,Volkswagen up!,114,0.9
2015,8,Volkswagen ,Volkswagen Golf,1414,11.2
2015,8,Volkswagen ,Volkswagen Passat,240,1.9
2015,8,Volkswagen ,Volkswagen up!,190,1.5
2015,9,Volkswagen ,Volkswagen Golf,1102,8.9
2015,9,Volkswagen ,Volkswagen Passat,184,1.5
2015,9,Volkswagen ,Volkswagen up!,180,1.4
2015,10,Volkswagen ,Volkswagen Golf,1368,10.4
2015,10,Volkswagen ,Volkswagen Passat,286,2.2
2015,10,Volkswagen ,Volkswagen up!,137,1
2015,11,Volkswagen ,Volkswagen Golf,1435,11.4
2015,11,Volkswagen ,Volkswagen Passat,358,2.8
2015,11,Volkswagen ,Volkswagen up!,147,1.2
2015,12,Volkswagen ,Volkswagen Golf,1050,8
2015,12,Volkswagen ,Volkswagen Passat,198,1.5
2015,12,Volkswagen ,Volkswagen up!,146,1.1
2016,1,Volkswagen ,Volkswagen Golf,998,9.080156492
2016,1,Volkswagen ,Volkswagen Passat,236,2.147211355
2016,1,Volkswagen ,Volkswagen up!,165,1.501228278
2016,1,Volkswagen ,Volkswagen Polo,144,1.310162861
2016,1,Volkswagen ,Volkswagen Touran,65,0.591392958
2016,2,Volkswagen ,Volkswagen Golf,1247,10.20291278
2016,2,Volkswagen ,Volkswagen Passat,310,2.536409753
2016,2,Volkswagen ,Volkswagen up!,138,1.129111438
2016,2,Volkswagen ,Volkswagen Polo,111,0.908198331
2016,2,Volkswagen ,Volkswagen Touran,65,0.531827851
2016,3,Volkswagen ,Volkswagen Golf,1414,10.19099099
2016,3,Volkswagen ,Volkswagen Passat,372,2.681081081
2016,3,Volkswagen ,Volkswagen up!,124,0.893693694
2016,3,Volkswagen ,Volkswagen Polo,118,0.85045045
2016,4,Volkswagen ,Volkswagen Golf,1713,12.13516577
2016,4,Volkswagen ,Volkswagen Passat,684,4.845565316
2016,4,Volkswagen ,Volkswagen Polo,227,1.608104279
2016,4,Volkswagen ,Volkswagen up!,153,1.083876452
2016,5,Volkswagen ,Volkswagen Golf,1054,8.19340796
2016,5,Volkswagen ,Volkswagen Passat,530,4.120024876
2016,5,Volkswagen ,Volkswagen Polo,159,1.236007463
2016,5,Volkswagen ,Volkswagen up!,135,1.049440299
2016,6,Volkswagen ,Volkswagen Golf,1056,7.718734011
2016,6,Volkswagen ,Volkswagen Passat,463,3.384255537
2016,6,Volkswagen ,Volkswagen up!,155,1.132958117
2016,6,Volkswagen ,Volkswagen Polo,143,1.045245231
2016,7,Volkswagen ,Volkswagen Golf,972,8.804347826
2016,7,Volkswagen ,Volkswagen Passat,444,4.02173913
2016,7,Volkswagen ,Volkswagen Tiguan,305,2.762681159
2016,7,Volkswagen ,Volkswagen Polo,145,1.313405797
2016,8,Volkswagen ,Volkswagen Golf,1214,9.2
2016,8,Volkswagen ,Volkswagen Passat,358,2.7
2016,8,Volkswagen ,Volkswagen Tiguan,331,2.5
2016,9,Volkswagen ,Volkswagen Golf,996,7.2
2016,9,Volkswagen ,Volkswagen Tiguan,416,3
2016,9,Volkswagen ,Volkswagen Passat,314,2.3
2016,10,Volkswagen ,Volkswagen Golf,858,7.2
2016,10,Volkswagen ,Volkswagen Passat,487,4.1
2016,10,Volkswagen ,Volkswagen Tiguan,419,3.5
2016,11,Volkswagen ,Volkswagen Golf,905,6.9
2016,11,Volkswagen ,Volkswagen Tiguan,406,3.1
2016,11,Volkswagen ,Volkswagen Passat,316,2.4
2016,12,Volkswagen ,Volkswagen Golf,721,5.3
2016,12,Volkswagen ,Volkswagen Tiguan,650,4.8
2016,12,Volkswagen ,Volkswagen Passat,299,2.2
2017,1,Volkswagen ,Volkswagen Golf,738,5.7
2017,1,Volkswagen ,Volkswagen Passat,515,3.9
